exchange_symbol,alt_symbol,mode,name,analysis_symbol,trade_date,status,rating,decision,log_path,elapsed_seconds,error
GETTEX:AUX,ASX,both,ASX Limited,AUX.MU,2026-05-19,ok,BUY,BUY,results/AUX.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,114.9,
GETTEX:SYP,SNPS,both,Synopsys,SNPS,2026-05-19,ok,BUY,HOLD,results/SNPS/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,109.1,
GETTEX:CDS,CDNS,both,Cadence Design Systems,CDNS,2026-05-19,ok,BUY,BUY,results/CDNS/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,117.9,
GETTEX:BS81,BSY,both,Bentley Systems,BSY,2026-05-19,ok,BUY,BUY,results/BSY/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,100.5,
GETTEX:NQG,MPWR,both,Monolithic Power Systems,MPWR,2026-05-19,ok,BUY,HOLD,results/MPWR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,108.8,
GETTEX:847,STX,both,Seagate Technology,STX,2026-05-19,ok,BUY,BUY,results/STX/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,118.5,
GETTEX:WDC,WDC,both,Western Digital,WDC,2026-05-19,ok,BUY,BUY,results/WDC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,101.5,
GETTEX:LU2,LITE,both,Lumentum Holdings,LITE,2026-05-19,ok,BUY,HOLD,results/LITE/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,101.0,
GETTEX:SRAG,SRAG,primary,Samara Asset Group,SRAG.MU,2026-05-19,ok,BUY,HOLD,results/SRAG.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,101.2,
XETR:RHM,RHM,primary,Rheinmetall,RHM.DE,2026-05-19,ok,BUY,BUY,results/RHM.DE/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,121.4,
