trade_symbol,underlying_symbol,analysis_symbol,session_focus,company,analysis_date,rating,action,score,log_path,status,error
GETTEX:847,STX,STX,both,Seagate Technology,2026-05-19,BUY,BUY,2,results/STX/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:SM2,SMTC,SMTC,both,Semtech,2026-05-19,BUY,BUY,2,results/SMTC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:6B0,SOFI,SOFI,both,SoFi Technologies,2026-05-19,BUY,BUY,2,results/SOFI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:MS51,SMCI,SMCI,both,Super Micro Computer,2026-05-19,BUY,BUY,2,results/SMCI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:TSFA,TSM,TSM,both,Taiwan Semiconductor Manufacturing,2026-05-19,BUY,BUY,2,results/TSM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:F3M,TEM,TEM,both,Tempus AI,2026-05-19,BUY,BUY,2,results/TEM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:VSA,VSA,VSA.MU,both,Valeo,2026-05-19,BUY,BUY,2,results/VSA.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:WDC,WDC,WDC,both,Western Digital,2026-05-19,BUY,BUY,2,results/WDC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
NYSE:NVT,NVT,NVT,primary,nVent Electric,2026-05-19,BUY,BUY,2,results/NVT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:AOY,AOSL,AOSL,both,Alpha and Omega Semiconductor,2026-05-19,HOLD,HOLD,0,results/AOSL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:1170,ANET,ANET,both,Arista Networks,2026-05-19,HOLD,HOLD,0,results/ANET/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:HUEC,HUBB,HUBB,both,Hubbell,2026-05-19,HOLD,HOLD,0,results/HUBB/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:INL,INTC,INTC,both,Intel,2026-05-19,HOLD,HOLD,0,results/INTC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:LU2,LITE,LITE,both,Lumentum Holdings,2026-05-19,HOLD,HOLD,0,results/LITE/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:1MA,MTSI,MTSI,both,MACOM Technology Solutions,2026-05-19,HOLD,HOLD,0,results/MTSI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:MTE,MU,MU,both,Micron Technology,2026-05-19,HOLD,HOLD,0,results/MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:MMF,MOD,MOD,both,Modine Manufacturing,2026-05-19,HOLD,HOLD,0,results/MOD/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:NQG,MPWR,MPWR,both,Monolithic Power Systems,2026-05-19,HOLD,HOLD,0,results/MPWR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:ORC,ORCL,ORCL,both,Oracle,2026-05-19,HOLD,HOLD,0,results/ORCL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:QCI,QCOM,QCOM,both,Qualcomm,2026-05-19,HOLD,HOLD,0,results/QCOM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:HY9H,HY9H,HY9H.MU,both,SK hynix,2026-05-19,HOLD,HOLD,0,results/HY9H.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:SRAG,SRAG,SRAG.MU,primary,Samara Asset Group,2026-05-19,HOLD,HOLD,0,results/SRAG.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:SYP,SNPS,SNPS,both,Synopsys,2026-05-19,HOLD,HOLD,0,results/SNPS/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:TEY,TER,TER,both,Teradyne,2026-05-19,HOLD,HOLD,0,results/TER/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:TL0,TSLA,TSLA,both,Tesla,2026-05-19,HOLD,HOLD,0,results/TSLA/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:VEO,VECO,VECO,both,Veeco Instruments,2026-05-19,HOLD,HOLD,0,results/VECO/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:49V,VRT,VRT,both,Vertiv,2026-05-19,HOLD,HOLD,0,results/VRT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:0V6,VST,VST,both,Vistra,2026-05-19,SELL,SELL,-2,results/VST/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
